# Accuracy of increasingly small subsets of features discovered by backward elimination
Feature Set,Accuracy (%)
"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40}",69.3
"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40}",70.39999999999999
"{1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40}",71.3
"{1,2,4,5,6,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40}",72.6
"{1,2,4,5,6,8,9,10,11,12,13,14,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40}",72.1
"{1,2,4,5,6,8,9,10,11,12,14,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40}",72.39999999999999
"{1,2,4,5,6,8,9,11,12,14,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40}",72.89999999999999
"{1,2,4,5,6,8,9,11,12,14,16,17,18,20,21,22,23,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40}",73.8
"{1,2,4,5,6,8,9,11,12,14,16,18,20,21,22,23,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40}",73.8
"{1,4,5,6,8,9,11,12,14,16,18,20,21,22,23,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40}",73.1
"{1,4,5,6,8,9,11,12,14,16,20,21,22,23,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40}",73.5
"{1,4,5,6,8,9,11,12,14,16,20,21,22,23,25,26,27,28,29,30,31,32,33,34,35,36,37,39,40}",74.4
"{1,4,5,6,8,9,11,12,14,16,20,21,22,23,25,26,27,28,29,31,32,33,34,35,36,37,39,40}",73.8
"{1,4,6,8,9,11,12,14,16,20,21,22,23,25,26,27,28,29,31,32,33,34,35,36,37,39,40}",74.0
"{1,4,8,9,11,12,14,16,20,21,22,23,25,26,27,28,29,31,32,33,34,35,36,37,39,40}",73.9
"{1,4,8,9,11,12,14,16,20,21,22,23,25,26,27,28,29,31,32,33,34,35,36,37,39}",74.4
"{1,4,8,11,12,14,16,20,21,22,23,25,26,27,28,29,31,32,33,34,35,36,37,39}",74.2
"{1,4,8,11,12,14,16,20,21,22,23,25,26,27,28,29,31,32,33,34,35,37,39}",75.8
"{1,4,8,11,12,14,20,21,22,23,25,26,27,28,29,31,32,33,34,35,37,39}",74.9
"{1,4,11,12,14,20,21,22,23,25,26,27,28,29,31,32,33,34,35,37,39}",75.3
"{1,4,11,12,14,20,21,22,23,25,26,27,28,29,31,32,33,34,37,39}",75.6
"{1,4,11,12,14,20,21,22,23,25,26,27,28,29,31,32,33,37,39}",75.5
"{1,4,11,12,14,20,22,23,25,26,27,28,29,31,32,33,37,39}",75.7
"{1,4,11,12,14,20,22,25,26,27,28,29,31,32,33,37,39}",76.9
"{1,4,12,14,20,22,25,26,27,28,29,31,32,33,37,39}",76.3
"{1,4,12,14,20,22,25,26,27,28,29,32,33,37,39}",75.6
"{1,4,12,14,20,25,26,27,28,29,32,33,37,39}",76.4
"{1,4,12,14,20,25,26,27,28,29,32,37,39}",76.5
"{1,12,14,20,25,26,27,28,29,32,37,39}",76.5
"{1,12,14,20,25,26,27,29,32,37,39}",75.4
"{1,12,14,20,25,26,27,29,32,37}",75.6
"{12,14,20,25,26,27,29,32,37}",75.6
"{12,14,20,25,26,27,32,37}",76.4
"{12,14,20,25,26,32,37}",76.7
"{12,14,20,25,26,37}",78.60000000000001
"{12,14,20,25,37}",79.9
"{14,20,25,37}",81.6
"{14,20,37}",82.3
"{14,37}",85.39999999999999
{37},84.0
{},80.0
