# Accuracy of increasingly large subsets of features discovered by forward selection
Feature Set,Accuracy (%)
{},80.0
{37},84.0
"{37,15}",95.1
"{37,15,23}",93.5
"{37,15,23,6}",89.8
"{37,15,23,6,35}",88.7
"{37,15,23,6,35,21}",86.0
"{37,15,23,6,35,21,7}",84.5
"{37,15,23,6,35,21,7,8}",82.89999999999999
"{37,15,23,6,35,21,7,8,29}",80.4
"{37,15,23,6,35,21,7,8,29,40}",78.7
"{37,15,23,6,35,21,7,8,29,40,25}",78.2
"{37,15,23,6,35,21,7,8,29,40,25,11}",78.2
"{37,15,23,6,35,21,7,8,29,40,25,11,31}",77.10000000000001
"{37,15,23,6,35,21,7,8,29,40,25,11,31,38}",76.1
"{37,15,23,6,35,21,7,8,29,40,25,11,31,38,28}",74.4
"{37,15,23,6,35,21,7,8,29,40,25,11,31,38,28,33}",74.3
"{37,15,23,6,35,21,7,8,29,40,25,11,31,38,28,33,1}",74.1
"{37,15,23,6,35,21,7,8,29,40,25,11,31,38,28,33,1,27}",74.3
"{37,15,23,6,35,21,7,8,29,40,25,11,31,38,28,33,1,27,3}",74.4
"{37,15,23,6,35,21,7,8,29,40,25,11,31,38,28,33,1,27,3,13}",73.0
"{37,15,23,6,35,21,7,8,29,40,25,11,31,38,28,33,1,27,3,13,9}",72.2
"{37,15,23,6,35,21,7,8,29,40,25,11,31,38,28,33,1,27,3,13,9,12}",73.0
"{37,15,23,6,35,21,7,8,29,40,25,11,31,38,28,33,1,27,3,13,9,12,19}",74.3
"{37,15,23,6,35,21,7,8,29,40,25,11,31,38,28,33,1,27,3,13,9,12,19,4}",73.4
"{37,15,23,6,35,21,7,8,29,40,25,11,31,38,28,33,1,27,3,13,9,12,19,4,30}",73.2
"{37,15,23,6,35,21,7,8,29,40,25,11,31,38,28,33,1,27,3,13,9,12,19,4,30,24}",73.5
"{37,15,23,6,35,21,7,8,29,40,25,11,31,38,28,33,1,27,3,13,9,12,19,4,30,24,5}",73.5
"{37,15,23,6,35,21,7,8,29,40,25,11,31,38,28,33,1,27,3,13,9,12,19,4,30,24,5,36}",72.7
"{37,15,23,6,35,21,7,8,29,40,25,11,31,38,28,33,1,27,3,13,9,12,19,4,30,24,5,36,18}",72.39999999999999
"{37,15,23,6,35,21,7,8,29,40,25,11,31,38,28,33,1,27,3,13,9,12,19,4,30,24,5,36,18,39}",72.5
"{37,15,23,6,35,21,7,8,29,40,25,11,31,38,28,33,1,27,3,13,9,12,19,4,30,24,5,36,18,39,14}",72.39999999999999
"{37,15,23,6,35,21,7,8,29,40,25,11,31,38,28,33,1,27,3,13,9,12,19,4,30,24,5,36,18,39,14,26}",72.0
"{37,15,23,6,35,21,7,8,29,40,25,11,31,38,28,33,1,27,3,13,9,12,19,4,30,24,5,36,18,39,14,26,2}",70.89999999999999
"{37,15,23,6,35,21,7,8,29,40,25,11,31,38,28,33,1,27,3,13,9,12,19,4,30,24,5,36,18,39,14,26,2,17}",71.1
"{37,15,23,6,35,21,7,8,29,40,25,11,31,38,28,33,1,27,3,13,9,12,19,4,30,24,5,36,18,39,14,26,2,17,32}",70.8
"{37,15,23,6,35,21,7,8,29,40,25,11,31,38,28,33,1,27,3,13,9,12,19,4,30,24,5,36,18,39,14,26,2,17,32,20}",70.7
"{37,15,23,6,35,21,7,8,29,40,25,11,31,38,28,33,1,27,3,13,9,12,19,4,30,24,5,36,18,39,14,26,2,17,32,20,16}",69.89999999999999
"{37,15,23,6,35,21,7,8,29,40,25,11,31,38,28,33,1,27,3,13,9,12,19,4,30,24,5,36,18,39,14,26,2,17,32,20,16,34}",70.7
"{37,15,23,6,35,21,7,8,29,40,25,11,31,38,28,33,1,27,3,13,9,12,19,4,30,24,5,36,18,39,14,26,2,17,32,20,16,34,10}",69.89999999999999
"{37,15,23,6,35,21,7,8,29,40,25,11,31,38,28,33,1,27,3,13,9,12,19,4,30,24,5,36,18,39,14,26,2,17,32,20,16,34,10,22}",69.3
